Department Id;University Id;Faculty Id;Department Name;Language;Score Type
106510090;1065;;Psikoloji (İngilizce);;EA
106510089;1065;;Siyaset Bilimi ve Uluslararası İlişkiler (İngilizce);;EA
106510014;1065;;Mimarlık (İngilizce);;SAY
106510077;1065;;Bilgisayar Mühendisliği (İngilizce);;SAY
106510068;1065;;Elektrik-Elektronik Mühendisliği (İngilizce);;SAY
106510023;1065;;Endüstri Mühendisliği (İngilizce);;SAY
106510032;1065;;İnşaat Mühendisliği (İngilizce);;SAY
106510041;1065;;Makine Mühendisliği (İngilizce);;SAY
106510087;1065;;Biyomühendislik (İngilizce);;SAY
106510086;1065;;Moleküler Biyoloji ve Genetik (İngilizce);;SAY
106510088;1065;;Ekonomi (İngilizce);;EA
106510059;1065;;İşletme (İngilizce);;EA
200110265;2001;;Eczacılık Fakültesi (İngilizce) (Ücretli);;SAY
200110274;2001;;Eczacılık Fakültesi (İngilizce) (Burslu);;SAY
200190060;2001;;Eczacılık Fakültesi (İngilizce) (%25 İndirimli);;SAY
200110211;2001;;Moleküler Biyoloji ve Genetik (İngilizce) (Burslu);;SAY
200110229;2001;;Moleküler Biyoloji ve Genetik (İngilizce) (%25 İndirimli);;SAY
200110114;2001;;Psikoloji (Ücretli);;EA
200110123;2001;;Psikoloji (Burslu);;EA
200190040;2001;;Psikoloji (%25 İndirimli);;EA
200190050;2001;;Psikoloji (İngilizce) (Ücretli);;EA
200190051;2001;;Psikoloji (İngilizce) (Burslu);;EA
200190052;2001;;Psikoloji (İngilizce) (%25 İndirimli);;EA
200190026;2001;;Sosyoloji (Burslu);;EA
200190027;2001;;Sosyoloji (%50 İndirimli);;EA
200110202;2001;;Tıp Mühendisliği (İngilizce) (Burslu);;SAY
200110292;2001;;Tıp Mühendisliği (İngilizce) (%50 İndirimli);;SAY
200190061;2001;;Beslenme ve Diyetetik (Ücretli);;SAY
200110141;2001;;Beslenme ve Diyetetik (Burslu);;SAY
200110168;2001;;Beslenme ve Diyetetik (%25 İndirimli);;SAY
200190055;2001;;Beslenme ve Diyetetik (İngilizce) (Ücretli);;SAY
200190056;2001;;Beslenme ve Diyetetik (İngilizce) (Burslu);;SAY
200190057;2001;;Beslenme ve Diyetetik (İngilizce) (%25 İndirimli);;SAY
200110044;2001;;Fizyoterapi ve Rehabilitasyon (Burslu);;SAY
200110326;2001;;Fizyoterapi ve Rehabilitasyon (%25 İndirimli);;SAY
200110053;2001;;Hemşirelik (Burslu);;SAY
200110159;2001;;Hemşirelik (%50 İndirimli);;SAY
200190053;2001;;Hemşirelik (İngilizce) (Burslu);;SAY
200190054;2001;;Hemşirelik (İngilizce) (%50 İndirimli);;SAY
200110026;2001;;Sağlık Yönetimi (Burslu);;EA
200110177;2001;;Sağlık Yönetimi (%50 İndirimli);;EA
200110071;2001;;Tıp Fakültesi (İngilizce) (Burslu);;SAY
200110238;2001;;Tıp Fakültesi (İngilizce) (%50 İndirimli);;SAY
110410223;1104;;Havacılık ve Uzay Mühendisliği (İngilizce);;SAY
110410227;1104;;İngilizce Mütercim ve Tercümanlık;;DİL
110410213;1104;;İşletme (İngilizce);;EA
110410228;1104;;Uluslararası Ticaret ve Finansman (İngilizce);;EA
110410028;1104;;Yönetim Bilişim Sistemleri (İngilizce);;EA
110410224;1104;;Mimarlık;;SAY
110410143;1104;;Bilgisayar Mühendisliği (İngilizce);;SAY
110410064;1104;;Biyomühendislik (İngilizce);;SAY
110410019;1104;;Elektrik-Elektronik Mühendisliği (İngilizce);;SAY
110410037;1104;;Endüstri Mühendisliği (İngilizce);;SAY
110410225;1104;;Enerji Sistemleri Mühendisliği (İngilizce);;SAY
110410179;1104;;Gıda Mühendisliği;;SAY
110410046;1104;;İnşaat Mühendisliği (İngilizce);;SAY
110410082;1104;;Maden Mühendisliği (İngilizce);;SAY
110410073;1104;;Makine Mühendisliği (İngilizce);;SAY
110410222;1104;;Siyaset Bilimi ve Kamu Yönetimi (İngilizce);;EA
110410226;1104;;Uluslararası İlişkiler (İngilizce);;EA
100210362;1002;;Diş Hekimliği Fakültesi;;SAY
100210353;1002;;Eczacılık Fakültesi;;SAY
100210283;1002;;Arapça Öğretmenliği;;DİL
100210017;1002;;Fen Bilgisi Öğretmenliği;;SAY
100210026;1002;;İlköğretim Matematik Öğretmenliği;;SAY
100210098;1002;;Okul Öncesi Öğretmenliği;;SÖZ
100290069;1002;;Özel Eğitim Öğretmenliği;;SÖZ
100210105;1002;;Rehberlik ve Psikolojik Danışmanlık;;EA
100210035;1002;;Sınıf Öğretmenliği;;EA
100210044;1002;;Sosyal Bilgiler Öğretmenliği;;SÖZ
100210114;1002;;Türkçe Öğretmenliği;;SÖZ
100210317;1002;;Arkeoloji;;EA
100210177;1002;;Biyoloji;;SAY
100290057;1002;;İngiliz Dili ve Edebiyatı (İngilizce);;DİL
100210053;1002;;Matematik;;SAY
100210132;1002;;Sanat Tarihi;;SÖZ
100210141;1002;;Sosyoloji;;EA
100210186;1002;;Tarih;;SÖZ
100210062;1002;;Türk Dili ve Edebiyatı;;SÖZ
100210195;1002;;İktisat;;EA
100210202;1002;;İşletme;;EA
100290058;1002;;İşletme;;EA
100210211;1002;;Kamu Yönetimi;;EA
100210371;1002;;İslami İlimler;;SÖZ
100210326;1002;;Elektrik-Elektronik Mühendisliği;;SAY
100210308;1002;;İnşaat Mühendisliği;;SAY
100210335;1002;;Makine Mühendisliği;;SAY
100290060;1002;;Tekstil Mühendisliği;;SAY
100210071;1002;;Ebelik;;SAY
100210089;1002;;Hemşirelik;;SAY
100210398;1002;;Ziraat Mühendisliği Programları;;SAY
100210168;1002;;Tıp Fakültesi;;SAY
100290059;1002;;Turizm Rehberliği;;DİL
100410969;1004;;Bankacılık ve Sigortacılık;;EA
100410793;1004;;Lojistik Yönetimi;;EA
100490183;1004;;Lojistik Yönetimi (KKTC Uyruklu);;EA
100490199;1004;;Muhasebe ve Finans Yönetimi;;EA
100490202;1004;;Endüstriyel Tasarım;;SAY
100490203;1004;;Sigortacılık;;EA
100410687;1004;;Fen Bilgisi Öğretmenliği;;SAY
100410678;1004;;İlköğretim Matematik Öğretmenliği;;SAY
100410015;1004;;Okul Öncesi Öğretmenliği;;SÖZ
100410024;1004;;Sınıf Öğretmenliği;;EA
100410033;1004;;Sosyal Bilgiler Öğretmenliği;;SÖZ
100410042;1004;;Türkçe Öğretmenliği;;SÖZ
100410069;1004;;Coğrafya;;SÖZ
100430267;1004;;Coğrafya (İÖ);;SÖZ
100410078;1004;;Çağdaş Türk Lehçeleri ve Edebiyatları;;SÖZ
100430319;1004;;Çağdaş Türk Lehçeleri ve Edebiyatları (İÖ);;SÖZ
100410924;1004;;Felsefe;;EA
100410103;1004;;Kimya;;SAY
100410112;1004;;Matematik;;SAY
100410809;1004;;Moleküler Biyoloji ve Genetik;;SAY
100490197;1004;;Psikoloji;;EA
100410121;1004;;Sosyoloji;;EA
100430055;1004;;Sosyoloji (İÖ);;EA
100410139;1004;;Tarih;;SÖZ
100430064;1004;;Tarih (İÖ);;SÖZ
100410148;1004;;Türk Dili ve Edebiyatı;;SÖZ
100430073;1004;;Türk Dili ve Edebiyatı (İÖ);;SÖZ
100410784;1004;;İç Mimarlık ve Çevre Tasarımı;;EA
100430531;1004;;İç Mimarlık ve Çevre Tasarımı (İÖ);;EA
100410157;1004;;Sinema ve Televizyon;;SÖZ
100410836;1004;;Hukuk Fakültesi;;EA
100410166;1004;;İktisat;;EA
100410175;1004;;İşletme;;EA
100410184;1004;;İşletme (İngilizce);;EA
100410193;1004;;Maliye;;EA
100430107;1004;;Maliye (İÖ);;EA
100410978;1004;;Siyaset Bilimi ve Kamu Yönetimi;;EA
100430655;1004;;Siyaset Bilimi ve Kamu Yönetimi (İÖ);;EA
100490204;1004;;Uluslararası Ticaret ve Finansman;;EA
100490200;1004;;Uluslararası Ticaret ve Finansman (KKTC Uyruklu);;EA
100410766;1004;;İslami İlimler;;SÖZ
100430522;1004;;İslami İlimler (İÖ);;SÖZ
