University Id;Faculty Id;Department Id;Deparment Name;Language;Score Type
1065;;106510090;Psikoloji (İngilizce);İngilizce;EA
1065;;106510089;Siyaset Bilimi ve Uluslararası İlişkiler (İngilizce);İngilizce;EA
1065;;106510014;Mimarlık (İngilizce);İngilizce;SAY
1065;;106510077;Bilgisayar Mühendisliği (İngilizce);İngilizce;SAY
1065;;106510098;Bilgisayar Mühendisliği (İngilizce) (KKTC Uyruklu);İngilizce;SAY
1065;;106510068;Elektrik-Elektronik Mühendisliği (İngilizce);İngilizce;SAY
1065;;106510023;Endüstri Mühendisliği (İngilizce);İngilizce;SAY
1065;;106510032;İnşaat Mühendisliği (İngilizce);İngilizce;SAY
1065;;106510041;Makine Mühendisliği (İngilizce);İngilizce;SAY
1065;;106510105;Malzeme Bilimi ve Nanoteknoloji Mühendisliği (İngilizce);İngilizce;SAY
1065;;106510087;Biyomühendislik (İngilizce);İngilizce;SAY
1065;;106510086;Moleküler Biyoloji ve Genetik (İngilizce);İngilizce;SAY
1065;;106510091;Moleküler Biyoloji ve Genetik (İngilizce) (KKTC Uyruklu);İngilizce;SAY
1065;;106510088;Ekonomi (İngilizce);İngilizce;EA
1065;;106510059;İşletme (İngilizce);İngilizce;EA
2001;;200110283;Eczacılık (İngilizce) (%50 İndirimli);İngilizce;SAY
2001;;200110274;Eczacılık (İngilizce) (Burslu);İngilizce;SAY
2001;;200110265;Eczacılık (İngilizce) (Ücretli);İngilizce;SAY
2001;;200190040;Psikoloji (%25 İndirimli);Türkçe;EA
2001;;200110123;Psikoloji (Burslu);Türkçe;EA
2001;;200190052;Psikoloji (İngilizce) (%25 İndirimli);İngilizce;EA
2001;;200190051;Psikoloji (İngilizce) (Burslu);İngilizce;EA
2001;;200190050;Psikoloji (İngilizce) (Ücretli);İngilizce;EA
2001;;200110114;Psikoloji (Ücretli);Türkçe;EA
2001;;200190027;Sosyoloji (%50 İndirimli);Türkçe;EA
2001;;200190026;Sosyoloji (Burslu);Türkçe;EA
2001;;200190102;Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli);İngilizce;SAY
2001;;200190095;Bilgisayar Mühendisliği (İngilizce) (Burslu);İngilizce;SAY
2001;;200190116;Biyomedikal Mühendisliği (İngilizce) (%50 İndirimli);İngilizce;SAY
2001;;200190109;Biyomedikal Mühendisliği (İngilizce) (Burslu);İngilizce;SAY
2001;;200190130;Moleküler Biyoloji ve Genetik (İngilizce) (%50 İndirimli);İngilizce;SAY
2001;;200190123;Moleküler Biyoloji ve Genetik (İngilizce) (Burslu);İngilizce;SAY
2001;;200110168;Beslenme ve Diyetetik (%25 İndirimli);Türkçe;SAY
2001;;200110141;Beslenme ve Diyetetik (Burslu);Türkçe;SAY
2001;;200190057;Beslenme ve Diyetetik (İngilizce) (%25 İndirimli);İngilizce;SAY
2001;;200190056;Beslenme ve Diyetetik (İngilizce) (Burslu);İngilizce;SAY
2001;;200190137;Fizyoterapi ve Rehabilitasyon (%50 İndirimli);Türkçe;SAY
2001;;200110044;Fizyoterapi ve Rehabilitasyon (Burslu);Türkçe;SAY
2001;;200110159;Hemşirelik (%50 İndirimli);Türkçe;SAY
2001;;200110053;Hemşirelik (Burslu);Türkçe;SAY
2001;;200190054;Hemşirelik (İngilizce) (%50 İndirimli);İngilizce;SAY
2001;;200190053;Hemşirelik (İngilizce) (Burslu);İngilizce;SAY
2001;;200110177;Sağlık Yönetimi (%50 İndirimli);Türkçe;EA
2001;;200110026;Sağlık Yönetimi (Burslu);Türkçe;EA
