Department Id;University Id;Faculty Id;Department Name;Language;Score Type
200150352;2001;;Aşçılık (%50 İndirimli);;TYT
200150361;2001;;Aşçılık (Burslu);;TYT
200190088;2001;;Bilgisayar Programcılığı (%50 İndirimli);;TYT
200190081;2001;;Bilgisayar Programcılığı (Burslu);;TYT
200150767;2001;;Biyomedikal Cihaz Teknolojisi (%50 İndirimli);;TYT
200150758;2001;;Biyomedikal Cihaz Teknolojisi (Burslu);;TYT
200150661;2001;;Ağız ve Diş Sağlığı (%50 İndirimli);;TYT
200150652;2001;;Ağız ve Diş Sağlığı (Burslu);;TYT
200190039;2001;;Ağız ve Diş Sağlığı (İÖ) (%50 İndirimli);;TYT
200190038;2001;;Ağız ve Diş Sağlığı (İÖ) (Burslu);;TYT
200150688;2001;;Ameliyathane Hizmetleri (%50 İndirimli);;TYT
200150679;2001;;Ameliyathane Hizmetleri (Burslu);;TYT
200150255;2001;;Anestezi (%50 İndirimli);;TYT
200150025;2001;;Anestezi (Burslu);;TYT
200150397;2001;;Anestezi (İÖ) (%50 İndirimli);;TYT
200150404;2001;;Anestezi (İÖ) (Burslu);;TYT
200150334;2001;;Diyaliz (%50 İndirimli);;TYT
200150185;2001;;Diyaliz (Burslu);;TYT
200150343;2001;;Elektronörofizyoloji (%50 İndirimli);;TYT
200150201;2001;;Elektronörofizyoloji (Burslu);;TYT
200190059;2001;;Fizyoterapi (%50 İndirimli);;TYT
200190058;2001;;Fizyoterapi (Burslu);;TYT
200150264;2001;;İlk ve Acil Yardım (%50 İndirimli);;TYT
200150167;2001;;İlk ve Acil Yardım (Burslu);;TYT
200150494;2001;;İlk ve Acil Yardım (İÖ) (%50 İndirimli);;TYT
200150501;2001;;İlk ve Acil Yardım (İÖ) (Burslu);;TYT
200150704;2001;;Odyometri (%50 İndirimli);;TYT
200150697;2001;;Odyometri (Burslu);;TYT
200150722;2001;;Optisyenlik (%50 İndirimli);;TYT
200150713;2001;;Optisyenlik (Burslu);;TYT
200150749;2001;;Ortopedik Protez ve Ortez (%50 İndirimli);;TYT
200150731;2001;;Ortopedik Protez ve Ortez (Burslu);;TYT
200150307;2001;;Patoloji Laboratuvar Teknikleri (%50 İndirimli);;TYT
200150061;2001;;Patoloji Laboratuvar Teknikleri (Burslu);;TYT
200150519;2001;;Patoloji Laboratuvar Teknikleri (İÖ) (%50 İndirimli);;TYT
200150528;2001;;Patoloji Laboratuvar Teknikleri (İÖ) (Burslu);;TYT
200150537;2001;;Podoloji (%50 İndirimli);;TYT
200150546;2001;;Podoloji (Burslu);;TYT
200150555;2001;;Podoloji (İÖ) (%50 İndirimli);;TYT
200150564;2001;;Podoloji (İÖ) (Burslu);;TYT
200150282;2001;;Radyoterapi (%50 İndirimli);;TYT
200150088;2001;;Radyoterapi (Burslu);;TYT
